key,path,subject,expr,emotion,label
KA.AN1.39.tiff,dataset\jaffe\KA.AN1.39.tiff,KA,AN,angry,0
KA.AN2.40.tiff,dataset\jaffe\KA.AN2.40.tiff,KA,AN,angry,0
KA.AN3.41.tiff,dataset\jaffe\KA.AN3.41.tiff,KA,AN,angry,0
KA.DI1.42.tiff,dataset\jaffe\KA.DI1.42.tiff,KA,DI,disgust,1
KA.DI2.43.tiff,dataset\jaffe\KA.DI2.43.tiff,KA,DI,disgust,1
KA.DI3.44.tiff,dataset\jaffe\KA.DI3.44.tiff,KA,DI,disgust,1
KA.FE1.45.tiff,dataset\jaffe\KA.FE1.45.tiff,KA,FE,fear,2
KA.FE2.46.tiff,dataset\jaffe\KA.FE2.46.tiff,KA,FE,fear,2
KA.FE3.47.tiff,dataset\jaffe\KA.FE3.47.tiff,KA,FE,fear,2
KA.FE4.48.tiff,dataset\jaffe\KA.FE4.48.tiff,KA,FE,fear,2
KA.HA1.29.tiff,dataset\jaffe\KA.HA1.29.tiff,KA,HA,happy,3
KA.HA2.30.tiff,dataset\jaffe\KA.HA2.30.tiff,KA,HA,happy,3
KA.HA3.31.tiff,dataset\jaffe\KA.HA3.31.tiff,KA,HA,happy,3
KA.HA4.32.tiff,dataset\jaffe\KA.HA4.32.tiff,KA,HA,happy,3
KA.NE1.26.tiff,dataset\jaffe\KA.NE1.26.tiff,KA,NE,neutral,4
KA.NE2.27.tiff,dataset\jaffe\KA.NE2.27.tiff,KA,NE,neutral,4
KA.NE3.28.tiff,dataset\jaffe\KA.NE3.28.tiff,KA,NE,neutral,4
KA.SA1.33.tiff,dataset\jaffe\KA.SA1.33.tiff,KA,SA,sad,5
KA.SA2.34.tiff,dataset\jaffe\KA.SA2.34.tiff,KA,SA,sad,5
KA.SA3.35.tiff,dataset\jaffe\KA.SA3.35.tiff,KA,SA,sad,5
KA.SU1.36.tiff,dataset\jaffe\KA.SU1.36.tiff,KA,SU,surprise,6
KA.SU2.37.tiff,dataset\jaffe\KA.SU2.37.tiff,KA,SU,surprise,6
KA.SU3.38.tiff,dataset\jaffe\KA.SU3.38.tiff,KA,SU,surprise,6
KL.AN1.167.tiff,dataset\jaffe\KL.AN1.167.tiff,KL,AN,angry,0
KL.AN2.168.tiff,dataset\jaffe\KL.AN2.168.tiff,KL,AN,angry,0
KL.AN3.169.tiff,dataset\jaffe\KL.AN3.169.tiff,KL,AN,angry,0
KL.DI1.170.tiff,dataset\jaffe\KL.DI1.170.tiff,KL,DI,disgust,1
KL.DI2.171.tiff,dataset\jaffe\KL.DI2.171.tiff,KL,DI,disgust,1
KL.DI3.172.tiff,dataset\jaffe\KL.DI3.172.tiff,KL,DI,disgust,1
KL.DI4.173.tiff,dataset\jaffe\KL.DI4.173.tiff,KL,DI,disgust,1
KL.FE1.174.tiff,dataset\jaffe\KL.FE1.174.tiff,KL,FE,fear,2
KL.FE2.175.tiff,dataset\jaffe\KL.FE2.175.tiff,KL,FE,fear,2
KL.FE3.176.tiff,dataset\jaffe\KL.FE3.176.tiff,KL,FE,fear,2
KL.HA1.158.tiff,dataset\jaffe\KL.HA1.158.tiff,KL,HA,happy,3
KL.HA2.159.tiff,dataset\jaffe\KL.HA2.159.tiff,KL,HA,happy,3
